CustomerCode,CustomerName,CustomerSegment,IndustryVertical,SizeTier,ParentCustomerCode,ParentCustomerName,HqCountryCode,HqCountryName,HqRegion,SalesRegion,AccountManager,AccountManagerEmail,CreditTier,PaymentTermsDays,ContractType,OnboardedDate,ScdValidFrom,ScdValidTo,IsCurrent,ScdVersion,CustomerKey
#NA,Unknown,#NA,#NA,#NA,#NA,#NA,#NA,Unknown,#NA,#NA,#NA,#NA,#NA,0,#NA,9999-12-31,9999-12-31,9999-12-31,0,0,-1
CUS0001,Voyager Stores S.A.,BCO,Retail,Mid-Market,,,IN,India,South Asia,APAC,Yuki Kowalski,yuki.kowalski@meridiangl.com,C,0,Long-Term Contract,2018-08-21,2018-08-21,9999-12-31,1,1,1
CUS0002,Sentinel Electronics PLC,Freight Forwarder,Electronics,Mid-Market,,,DE,Germany,N Europe,EMEA,Ingrid Nguyen,ingrid.nguyen@meridiangl.com,C,15,Spot,2024-01-22,2024-01-22,9999-12-31,1,1,2
CUS0003,Ivyhill Power Co.,SME Direct,Energy,SME,,,GB,United Kingdom,N Europe,EMEA,Carlos Al-Farsi,carlos.al-farsi@meridiangl.com,B,30,Spot,2016-01-23,2016-01-23,2021-02-12,0,1,3
CUS0003,Ivyhill Power Co.,SME Direct,Energy,National,,,GB,United Kingdom,N Europe,EMEA,Yuki O'Brien,yuki.obrien@meridiangl.com,B,30,Named Account Tariff,2016-01-23,2021-02-13,9999-12-31,1,2,4
CUS0004,Sterling Motors Pte Ltd,SME Direct,Automotive,SME,CUS0385,Everest Auto Parts PLC,IT,Italy,Mediterranean,EMEA,Elena O'Brien,elena.obrien@meridiangl.com,D,0,Spot,2025-06-16,2025-06-16,9999-12-31,1,1,5
CUS0005,Underhill Pharmaceuticals Co.,Freight Forwarder,Pharma,National,CUS0932,Kestrel Pharmaceuticals B.V.,ID,Indonesia,SE Asia,APAC,Diego Yamamoto,diego.yamamoto@meridiangl.com,A,30,Named Account Tariff,2019-03-23,2019-03-23,9999-12-31,1,1,6
CUS0006,Westbrook Technologies Holdings,BCO,Electronics,Mid-Market,,,ID,Indonesia,SE Asia,APAC,Ingrid Osei,ingrid.osei@meridiangl.com,C,15,Named Account Tariff,2016-05-24,2016-05-24,9999-12-31,1,1,7
CUS0007,Nova Apparel S.A.,3PL,Textiles,Mid-Market,,,SG,Singapore,SE Asia,APAC,Priya O'Brien,priya.obrien@meridiangl.com,C,15,Named Account Tariff,2020-12-04,2020-12-04,2022-03-24,0,1,8
CUS0007,Nova Apparel S.A.,3PL,Textiles,Mid-Market,,,SG,Singapore,SE Asia,APAC,Raj Kim,raj.kim@meridiangl.com,B,15,Long-Term Contract,2020-12-04,2022-03-25,9999-12-31,1,2,9
CUS0008,Cobalt Automotive Corp,BCO,Automotive,National,,,JP,Japan,East Asia,APAC,Wei Silva,wei.silva@meridiangl.com,C,30,Long-Term Contract,2019-09-18,2019-09-18,9999-12-31,1,1,10
CUS0009,Eastridge Agri-Foods B.V.,SME Direct,Agriculture,Mid-Market,,,CA,Canada,N America East,Americas,Grace Larsson,grace.larsson@meridiangl.com,D,15,Long-Term Contract,2024-02-14,2024-02-14,9999-12-31,1,1,11
CUS0010,Southwick Life Sciences GmbH,Freight Forwarder,Pharma,National,,,FR,France,N Europe,EMEA,James Larsson,james.larsson@meridiangl.com,B,45,Long-Term Contract,2017-01-02,2017-01-02,9999-12-31,1,1,12
CUS0011,Quarrystone Life Sciences LLC,NVOCC,Pharma,SME,,,FR,France,N Europe,EMEA,Maria Sharma,maria.sharma@meridiangl.com,D,45,Spot,2019-12-06,2019-12-06,2020-09-29,0,1,13
CUS0011,Quarrystone Life Sciences LLC,NVOCC,Pharma,SME,,,FR,France,N Europe,EMEA,Maria Sharma,maria.sharma@meridiangl.com,D,45,Named Account Tariff,2019-12-06,2020-09-30,9999-12-31,1,2,14
CUS0012,Millbrook Mercantile PLC,3PL,Retail,SME,CUS0291,Vantage Engineering Pte Ltd,SA,Saudi Arabia,Middle East,EMEA,Elena Berg,elena.berg@meridiangl.com,C,45,Spot,2017-05-08,2017-05-08,9999-12-31,1,1,15
CUS0013,Ashford Technologies GmbH,Freight Forwarder,Electronics,Mid-Market,,,BR,Brazil,LatAm East,Americas,Ahmed Novak,ahmed.novak@meridiangl.com,D,30,Spot,2019-04-30,2019-04-30,9999-12-31,1,1,16
CUS0014,Ironbridge Semiconductor Inc,NVOCC,Electronics,National,,,ZA,South Africa,Africa,EMEA,Priya O'Brien,priya.obrien@meridiangl.com,B,30,Long-Term Contract,2022-09-27,2022-09-27,9999-12-31,1,1,17
CUS0015,Lakemoor Apparel S.A.,NVOCC,Textiles,Mid-Market,CUS1367,Nightingale Semiconductor GmbH,AU,Australia,Oceania,ANZ,Carlos Ferreira,carlos.ferreira@meridiangl.com,D,15,Long-Term Contract,2015-03-24,2015-03-24,9999-12-31,1,1,18
CUS0016,Brightwater Pharma Pte Ltd,BCO,Pharma,Global Key Account,,,FR,France,N Europe,EMEA,Ahmed Tanaka,ahmed.tanaka@meridiangl.com,A,15,Long-Term Contract,2017-07-12,2017-07-12,9999-12-31,1,1,19
CUS0017,Cobalt Textiles Holdings,BCO,Textiles,Mid-Market,,,ES,Spain,Mediterranean,EMEA,Priya O'Brien,priya.obrien@meridiangl.com,B,45,Named Account Tariff,2025-05-12,2025-05-12,9999-12-31,1,1,20
CUS0018,Aurora Auto Parts GmbH,BCO,Automotive,Mid-Market,,,IT,Italy,Mediterranean,EMEA,Elena Haddad,elena.haddad@meridiangl.com,A,60,Spot,2023-05-10,2023-05-10,9999-12-31,1,1,21
CUS0019,Greystone Life Sciences GmbH,Freight Forwarder,Pharma,Mid-Market,,,VN,Vietnam,SE Asia,APAC,Sofia Ferreira,sofia.ferreira@meridiangl.com,B,45,Spot,2020-05-16,2020-05-16,9999-12-31,1,1,22
CUS0020,Mosaic Agro Corp,NVOCC,Agriculture,Mid-Market,CUS2857,Ashford Textiles B.V.,MX,Mexico,LatAm West,Americas,Carlos Haddad,carlos.haddad@meridiangl.com,B,60,Spot,2015-06-26,2015-06-26,2025-11-04,0,1,23
CUS0020,Mosaic Agro Corp,NVOCC,Agriculture,SME,CUS2857,Ashford Textiles B.V.,MX,Mexico,LatAm West,Americas,Carlos Haddad,carlos.haddad@meridiangl.com,A,60,Named Account Tariff,2015-06-26,2025-11-05,9999-12-31,1,2,24
CUS0021,Westbrook Consumer Goods Inc,3PL,FMCG,SME,,,CN,China,East Asia,APAC,Elena Haddad,elena.haddad@meridiangl.com,D,0,Long-Term Contract,2017-01-28,2017-01-28,2020-11-23,0,1,25
CUS0021,Westbrook Consumer Goods Inc,3PL,FMCG,Mid-Market,,,CN,China,East Asia,APAC,Elena Haddad,elena.haddad@meridiangl.com,A,0,Named Account Tariff,2017-01-28,2020-11-24,2021-10-21,0,2,26
CUS0021,Westbrook Consumer Goods Inc,3PL,FMCG,SME,,,CN,China,East Asia,APAC,Elena Haddad,elena.haddad@meridiangl.com,A,0,Long-Term Contract,2017-01-28,2021-10-22,9999-12-31,1,3,27
CUS0022,Onyx Chemicals Group,BCO,Chemicals,SME,,,TR,Turkey,Mediterranean,EMEA,Ingrid O'Brien,ingrid.obrien@meridiangl.com,C,15,Spot,2023-04-05,2023-04-05,9999-12-31,1,1,28
CUS0023,Zenith Retail Holdings,SME Direct,Retail,Mid-Market,,,DE,Germany,N Europe,EMEA,Carlos Sharma,carlos.sharma@meridiangl.com,B,45,Long-Term Contract,2020-01-30,2020-01-30,2021-08-20,0,1,29
CUS0023,Zenith Retail Holdings,SME Direct,Retail,SME,,,DE,Germany,N Europe,EMEA,Yuki Ramirez,yuki.ramirez@meridiangl.com,D,45,Spot,2020-01-30,2021-08-21,9999-12-31,1,2,30
CUS0024,Ashford Chemicals Co.,Freight Forwarder,Chemicals,Mid-Market,,,GB,United Kingdom,N Europe,EMEA,Elena Berg,elena.berg@meridiangl.com,D,45,Named Account Tariff,2022-04-12,2022-04-12,9999-12-31,1,1,31
CUS0025,Dockside Pharma S.A.,BCO,Pharma,Mid-Market,,,IN,India,South Asia,APAC,Anna Berg,anna.berg@meridiangl.com,B,30,Spot,2020-01-02,2020-01-02,2020-10-18,0,1,32
CUS0025,Dockside Pharma S.A.,BCO,Pharma,SME,,,IN,India,South Asia,APAC,Diego Yamamoto,diego.yamamoto@meridiangl.com,D,30,Long-Term Contract,2020-01-02,2020-10-19,9999-12-31,1,2,33
CUS0026,Lonestar Textiles Holdings,SME Direct,Textiles,National,,,AU,Australia,Oceania,ANZ,Elena Haddad,elena.haddad@meridiangl.com,C,45,Long-Term Contract,2018-11-14,2018-11-14,9999-12-31,1,1,34
CUS0027,Cobalt Retail Inc,BCO,Retail,National,,,GB,United Kingdom,N Europe,EMEA,Sofia Ferreira,sofia.ferreira@meridiangl.com,D,15,Long-Term Contract,2019-01-08,2019-01-08,9999-12-31,1,1,35
CUS0028,Westbrook Energy Ltd,BCO,Energy,SME,CUS1256,Granite Machinery Co.,FR,France,N Europe,EMEA,Kenji Tanaka,kenji.tanaka@meridiangl.com,D,15,Spot,2022-09-05,2022-09-05,9999-12-31,1,1,36
CUS0029,Greystone Trading S.A.,Freight Forwarder,Retail,SME,,,ES,Spain,Mediterranean,EMEA,Raj Kim,raj.kim@meridiangl.com,B,0,Spot,2020-10-24,2020-10-24,2026-04-24,0,1,37
CUS0029,Greystone Trading S.A.,Freight Forwarder,Retail,Mid-Market,,,ES,Spain,Mediterranean,EMEA,Ahmed Nguyen,ahmed.nguyen@meridiangl.com,A,0,Long-Term Contract,2020-10-24,2026-04-25,9999-12-31,1,2,38
CUS0030,Monsoon Agri-Foods Holdings,SME Direct,Agriculture,Mid-Market,,,IN,India,South Asia,APAC,Wei Tanaka,wei.tanaka@meridiangl.com,B,30,Spot,2024-05-01,2024-05-01,9999-12-31,1,1,39
CUS0031,Juniper Chemical Industries GmbH,BCO,Chemicals,Mid-Market,,,FR,France,N Europe,EMEA,Yuki Ramirez,yuki.ramirez@meridiangl.com,B,45,Named Account Tariff,2021-10-08,2021-10-08,9999-12-31,1,1,40
CUS0032,Marlowe Foods Co.,Freight Forwarder,FMCG,SME,,,TH,Thailand,SE Asia,APAC,Ingrid O'Brien,ingrid.obrien@meridiangl.com,C,45,Long-Term Contract,2016-02-03,2016-02-03,2024-07-21,0,1,41
CUS0032,Marlowe Foods Co.,Freight Forwarder,FMCG,National,,,TH,Thailand,SE Asia,APAC,Grace Larsson,grace.larsson@meridiangl.com,C,45,Named Account Tariff,2016-02-03,2024-07-22,9999-12-31,1,2,42
CUS0033,Wellspring Life Sciences LLC,Freight Forwarder,Pharma,SME,,,BR,Brazil,LatAm East,Americas,Ahmed Torres,ahmed.torres@meridiangl.com,C,30,Named Account Tariff,2015-10-09,2015-10-09,9999-12-31,1,1,43
CUS0034,Millbrook Power Pte Ltd,BCO,Energy,National,,,FR,France,N Europe,EMEA,Sofia Larsson,sofia.larsson@meridiangl.com,C,30,Long-Term Contract,2024-09-20,2024-09-20,9999-12-31,1,1,44
CUS0035,Sterling Metals Ltd,BCO,Metals,SME,,,KR,South Korea,East Asia,APAC,Ahmed Rossi,ahmed.rossi@meridiangl.com,D,15,Spot,2017-07-19,2017-07-19,9999-12-31,1,1,45
CUS0036,Skyline Technologies Inc,BCO,Electronics,SME,CUS1368,Zenith Engineering GmbH,AU,Australia,Oceania,ANZ,Priya Ferreira,priya.ferreira@meridiangl.com,C,15,Named Account Tariff,2019-08-11,2019-08-11,9999-12-31,1,1,46
CUS0037,Quarrystone FMCG GmbH,SME Direct,FMCG,SME,,,AU,Australia,Oceania,ANZ,Yuki Kowalski,yuki.kowalski@meridiangl.com,B,15,Spot,2020-08-29,2020-08-29,2025-06-05,0,1,47
